                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.77524,                   2.77,                 1.2006,                0.00588,                      1,                0.43582,                0.29322,                0.57271,                 2.9253,                 1.0198,              1.667e-05,              1.667e-05,              1.667e-05
                      1,                0.91041,                 2.7816,                 1.3256,                0.00585,                      1,                0.42717,                0.28972,                0.56883,                 2.9245,                 1.0196,             4.9515e-05,             4.9515e-05,             4.9515e-05
                      2,                0.81092,                  2.741,                 1.2446,                0.00582,                      1,                0.47878,                0.37734,                  0.494,                 2.9078,                0.97066,               8.17e-05,               8.17e-05,               8.17e-05
                      3,                0.79704,                 2.6482,                 1.3077,                0.00578,                      1,                0.50307,                0.39861,                0.49502,                  2.894,                0.95889,             0.00011322,             0.00011322,             0.00011322
                      4,                0.75357,                 2.4799,                 1.2044,                0.00578,                      1,                0.55476,                0.44815,                0.49554,                 2.8702,                0.94637,             0.00014409,             0.00014409,             0.00014409
                      5,                0.68861,                 2.3352,                 1.1513,                 0.0058,                      1,                0.55293,                0.44969,                0.49192,                    2.8,                0.93455,             0.00017429,             0.00017429,             0.00017429
                      6,                0.82906,                 2.0617,                 1.2359,                0.00583,                      1,                0.56674,                0.46451,                0.50871,                 2.6722,                0.94686,             0.00020384,             0.00020384,             0.00020384
                      7,                0.74865,                 1.9028,                 1.2112,                0.44552,                0.92296,                0.55089,                0.46596,                0.56739,                 2.5614,                0.98945,             0.00023272,             0.00023272,             0.00023272
                      8,                0.72572,                 1.8747,                 1.1854,                0.00603,                      1,                0.56998,                0.44935,                 0.5885,                 2.5787,                  1.006,             0.00026095,             0.00026095,             0.00026095
                      9,                0.72808,                 1.8413,                 1.1768,                0.00605,                      1,                0.58109,                0.44623,                0.60174,                 2.6518,                 1.0403,             0.00028851,             0.00028851,             0.00028851
                     10,                0.74198,                  1.633,                 1.1658,                0.00594,                      1,                0.55931,                0.41188,                0.66407,                 2.6917,                 1.0878,             0.00031541,             0.00031541,             0.00031541
                     11,                0.72404,                 1.6282,                 1.1483,                0.00586,                      1,                0.54026,                0.37738,                 0.7173,                 2.7055,                 1.1402,             0.00034166,             0.00034166,             0.00034166
                     12,                0.76121,                 1.6801,                 1.2117,                0.00582,                      1,                0.57976,                0.36481,                0.78556,                 2.6763,                 1.1825,             0.00036724,             0.00036724,             0.00036724
                     13,                0.71181,                 1.4725,                 1.1223,                0.60276,                0.49902,                0.58127,                 0.3492,                 0.8356,                 2.6271,                 1.2104,             0.00039216,             0.00039216,             0.00039216
                     14,                0.77734,                 1.4249,                 1.1237,                0.68368,                0.19809,                 0.6146,                0.39031,                0.87063,                  2.503,                 1.2117,             0.00041643,             0.00041643,             0.00041643
                     15,                0.66654,                 1.3473,                 1.0927,                0.81182,                0.24597,                0.72802,                0.50101,                0.77962,                 2.3652,                 1.1665,             0.00044003,             0.00044003,             0.00044003
                     16,                 0.6959,                 1.2771,                 1.1262,                 0.8191,                0.38365,                0.81244,                0.58213,                0.76341,                 2.2359,                 1.1696,             0.00046297,             0.00046297,             0.00046297
                     17,                0.78062,                 1.2925,                 1.1628,                0.80667,                0.51468,                0.80821,                0.57733,                0.78295,                 2.1252,                 1.1899,             0.00048526,             0.00048526,             0.00048526
